Time,Target,TargetPos,TargetScale,InitialHit,AvgGazeHit,CenterError,EyeToTargetDistance,ValidFrames,ExpectedFrames,GazeHitRate

--- New Session: 7/1/2025 7:04:37 PM ---
6.6222,Sphere (2),12.16 5.96 20.00,1.00 1.00 0.10,10.05 0.00 17.46,11.98 6.30 19.97,0.3861,7.3269,46,210,0.22
9.6308,Sphere (1),10.06 5.96 20.00,1.00 1.00 0.10,9.85 6.20 19.96,9.86 6.17 19.96,0.2962,6.9118,176,210,0.84
12.6385,Sphere (8),12.16 1.81 20.00,1.00 1.00 0.10,9.86 6.21 19.96,12.11 1.45 19.97,0.3629,5.6704,181,209,0.87
15.6465,Sphere (3),12.16 3.93 20.00,1.00 1.00 0.10,12.07 1.46 19.97,12.07 3.76 19.96,0.1972,6.2319,193,210,0.92
18.6536,Sphere,8.03 5.96 20.00,1.00 1.00 0.10,12.06 3.78 19.95,7.80 5.77 19.96,0.3025,7.0986,183,207,0.88
21.6603,Sphere (5),8.03 3.85 20.00,1.00 1.00 0.10,7.80 5.70 19.97,7.81 3.66 19.96,0.2865,5.9249,180,213,0.85
24.6675,Sphere (4),10.06 3.87 20.00,1.00 1.00 0.10,7.80 3.61 19.96,9.90 3.79 19.96,0.1812,5.7084,192,215,0.89
27.6751,Sphere (6),8.03 1.82 20.00,1.00 1.00 0.10,9.87 3.80 19.96,7.83 1.55 19.97,0.3376,5.3733,181,211,0.86
30.6823,Sphere (7),10.06 1.82 20.00,1.00 1.00 0.10,7.84 1.54 19.96,9.96 1.55 19.96,0.2887,5.1228,191,214,0.89

--- New Session: 7/1/2025 7:09:36 PM ---
6.1853,Sphere (3),12.16 3.93 20.00,1.00 1.00 0.10,10.10 0.00 17.46,12.06 3.80 19.95,0.1682,6.2284,159,209,0.76
9.1939,Sphere,8.03 5.96 20.00,1.00 1.00 0.10,12.07 3.81 19.95,7.88 5.94 19.95,0.1554,7.1148,184,216,0.85
12.2017,Sphere (1),10.06 5.96 20.00,1.00 1.00 0.10,7.90 6.04 19.95,9.88 6.30 19.97,0.3880,6.9118,114,220,0.52
15.2090,Sphere (4),10.06 3.87 20.00,1.00 1.00 0.10,9.85 6.35 19.98,9.91 3.75 19.96,0.1972,5.7211,190,215,0.88
18.2167,Sphere (7),10.06 1.82 20.00,1.00 1.00 0.10,9.91 3.80 19.95,9.97 1.54 19.96,0.2938,5.1523,191,216,0.88
21.2242,Sphere (6),8.03 1.82 20.00,1.00 1.00 0.10,9.95 1.55 19.96,7.81 1.57 19.96,0.3373,5.4207,191,216,0.88
24.2316,Sphere (8),12.16 1.81 20.00,1.00 1.00 0.10,7.82 1.59 19.96,12.12 1.55 19.96,0.2678,5.6751,187,216,0.87
27.2388,Sphere (2),12.16 5.96 20.00,1.00 1.00 0.10,12.11 1.59 19.96,11.96 6.19 19.96,0.3064,7.3135,187,217,0.86
30.2457,Sphere (5),8.03 3.85 20.00,1.00 1.00 0.10,11.96 6.14 19.96,7.83 3.63 19.96,0.2936,5.9539,187,217,0.86

--- New Session: 7/1/2025 7:12:54 PM ---

--- New Session: 7/1/2025 7:18:39 PM ---
12.8971,Sphere (6),8.03 1.82 20.00,1.00 1.00 0.10,8.65 0.00 19.67,7.77 1.53 19.97,0.3870,10.4677,7,221,0.03
15.9068,Sphere (1),10.06 5.96 20.00,1.00 1.00 0.10,9.79 5.87 19.96,9.84 5.89 19.96,0.2366,11.3375,161,204,0.79
18.9134,Sphere (5),8.03 3.85 20.00,1.00 1.00 0.10,9.85 5.94 19.96,7.73 3.51 19.98,0.4486,10.7720,66,211,0.31
21.9205,Sphere (3),12.16 3.93 20.00,1.00 1.00 0.10,7.67 3.53 19.99,12.10 3.52 19.98,0.4101,10.9257,150,214,0.70
24.9275,Sphere (4),10.06 3.87 20.00,1.00 1.00 0.10,11.88 3.59 19.98,9.81 3.48 19.98,0.4606,10.6480,19,215,0.09
27.9350,Sphere (2),12.16 5.96 20.00,1.00 1.00 0.10,11.82 5.61 19.99,11.96 5.79 19.96,0.2689,11.5917,157,218,0.72
30.9421,Sphere,8.03 5.96 20.00,1.00 1.00 0.10,10.00 5.86 19.95,7.60 5.84 19.98,0.4499,11.4729,52,222,0.23

--- New Session: 7/1/2025 7:26:10 PM ---
9.3247,Sphere (4),10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,219,0.00
12.3264,Sphere,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,218,0.00
15.3371,Sphere (8),12.16 1.81 20.00,1.00 1.00 0.10,7.70 5.77 19.97,12.09 1.63 19.96,0.1940,14.2283,19,215,0.09
18.3450,Sphere (6),8.03 1.82 20.00,1.00 1.00 0.10,7.69 1.50 19.98,7.68 1.49 19.99,0.4814,14.1310,1,215,0.00
21.3521,Sphere (5),8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,220,0.00
24.3597,Sphere (1),10.06 5.96 20.00,1.00 1.00 0.10,9.70 5.72 19.98,9.72 5.79 19.97,0.3856,14.7680,179,215,0.83
27.3668,Sphere (3),12.16 3.93 20.00,1.00 1.00 0.10,9.70 5.82 19.97,12.03 3.57 19.98,0.3869,14.4563,92,215,0.43
30.3739,Sphere (7),10.06 1.82 20.00,1.00 1.00 0.10,9.80 1.45 19.98,9.72 1.49 19.99,0.4680,14.0255,55,219,0.25
33.3805,Sphere (2),12.16 5.96 20.00,1.00 1.00 0.10,9.69 1.51 19.99,11.96 5.69 19.96,0.3356,14.9572,175,217,0.81

--- New Session: 7/1/2025 7:39:44 PM ---
35.2300,Sphere (4),10.06 3.87 20.00,1.00 1.00 0.10,9.93 0.00 8.63,9.76 3.68 19.97,0.3533,14.1726,40,221,0.18
38.2379,Sphere (6),8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,212,0.00
41.2458,Sphere (5),8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,221,0.00
44.2535,Sphere (7),10.06 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,213,0.00
47.2605,Sphere (2),12.16 5.96 20.00,1.00 1.00 0.10,11.89 5.75 19.96,11.89 5.76 19.97,0.3425,14.8955,186,214,0.87
50.2679,Sphere (1),10.06 5.96 20.00,1.00 1.00 0.10,11.89 5.75 19.96,9.73 5.94 19.97,0.3311,14.7025,195,211,0.92
53.2750,Sphere,8.03 5.96 20.00,1.00 1.00 0.10,9.77 5.92 19.96,8.10 5.68 19.96,0.2978,14.7992,2,213,0.01
56.2823,Sphere (3),12.16 3.93 20.00,1.00 1.00 0.10,11.70 3.79 20.00,12.02 3.66 19.96,0.3058,14.3851,178,218,0.82
59.2897,Sphere (8),12.16 1.81 20.00,1.00 1.00 0.10,12.01 3.59 19.97,12.08 1.44 19.97,0.3822,14.1477,119,224,0.53

--- New Session: 7/1/2025 9:29:07 PM ---
30.8200,Sphere (6),8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,95,0.00
33.8360,Sphere (4),10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,92,0.00
36.8524,Sphere (3),12.16 3.93 20.00,1.00 1.00 0.10,null,null,null,null,0,91,0.00
39.8682,Sphere (8),12.16 1.81 20.00,1.00 1.00 0.10,null,null,null,null,0,91,0.00
42.8856,Sphere (1),10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,90,0.00
45.9024,Sphere (5),8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,89,0.00
48.9186,Sphere,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,93,0.00
51.9365,Sphere (7),10.06 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,90,0.00
54.9521,Sphere (2),12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,90,0.00

--- New Session: 7/1/2025 11:00:02 PM ---
5.8680,Right Bottom,12.16 1.81 20.00,1.00 1.00 0.10,null,null,null,null,0,910,0.00
8.8712,Middle Bottom,10.06 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,897,0.00
11.8729,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,844,0.00
14.8730,RIght Top,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,909,0.00
17.8762,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,909,0.00
20.8789,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,798,0.00
23.8795,Middle Middle,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,821,0.00
26.8814,Right Middle,12.16 3.93 20.00,1.00 1.00 0.10,null,null,null,null,0,731,0.00
29.8849,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,834,0.00

--- New Session: 7/1/2025 11:41:20 PM ---
16.6568,Middle Middle Target,10.06 3.87 20.00,1.00 1.00 0.10,null,null,null,null,0,805,0.00
20.6581,Middle Top Target,10.06 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,890,0.00
24.6634,RIght Top Target,12.16 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,714,0.00
28.6668,Middle Bottom Target,10.06 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,827,0.00
32.6728,Left Middle Target,8.03 3.85 20.00,1.00 1.00 0.10,null,null,null,null,0,853,0.00
36.6770,Left Top Target,8.03 5.96 20.00,1.00 1.00 0.10,null,null,null,null,0,859,0.00
40.6775,Left Bottom Target,8.03 1.82 20.00,1.00 1.00 0.10,null,null,null,null,0,898,0.00
44.6806,Right Bottom Target,12.16 1.81 20.00,1.00 1.00 0.10,null,null,null,null,0,800,0.00
48.6861,Right Middle Target,12.16 3.93 20.00,1.00 1.00 0.10,null,null,null,null,0,702,0.00
